"A1","A2","A3[001]","A3[002]","A3[003]","A3[004]","A3[005]","A3[006]","A3[007]","A3[008]","A3[009]","A3[other]","A4","A5","A6","A7","A8","A9","S10[SQ001]","S10[SQ002]","S11[SQ002]","S11[SQ003]","S11[SQ004]","S11[other]","S12","S13[SQ001]","S13[SQ002]","S13[SQ003]","TK14[SQ001]","TK14[SQ002]","TK14[SQ003]","TK14[SQ004]","TK14[SQ005]","TK14[SQ006]","TK14[SQ007]","TK14[SQ008]","TK14[SQ009]","TK14[other]","TK15[SQ002]","TK15[SQ003]","TK15[SQ004]","TK15[SQ005]","TK16","TK17","TK18","TK19[SQ001]","TK19[SQ002]","TK19[SQ003]","TK20","TK21[SQ002]","TK21[SQ003]","S22","S22[other]","S23","GE24[SQ001]","GE24[SQ002]","GE24[SQ003]","GE24[SQ004]","GE24[SQ005]","GE24[SQ006]","GE24[SQ007]"
"25 bis 34 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","11 bis 15","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert und bekannt. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Vor Ort","Hybrid (Teile des Teams Remote und vor Ort)","Nein","Ja","Nein","","Eine Kombination beider","Stimme voll und ganz zu","Stimme zu","Stimme eher zu","Ja","Nein","Nein","Ja","Ja","Ja","Nein","Ja","Ja","","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Oft","Sehr wohl","Weder noch","Stimme voll und ganz zu","Stimme zu","Ja, deutlich","Stimme voll und ganz zu","Stimme voll und ganz zu","Durch formelle Schulung innerhalb des Unternehmens","","Zwingend notwendig","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu"
"25 bis 34 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","Kleines Unternehmen (< 50 Mitarbeitende)","6 bis 10","Gelegentlich (weniger als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden teilweise extern beeinflusst. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Vor Ort","Ja","Nein","Nein","","Eine Kombination beider","Stimme kaum zu","Weder noch","Stimme eher zu","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Ja","","Stimme eher zu","Weder noch","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Weder noch","Stimme eher zu","Stimme eher zu","Ja, etwas","Stimme eher zu","Stimme eher zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Weder noch","Stimme eher zu","Weder noch","Stimme eher zu","Stimme eher zu","Weder noch","Stimme eher zu"
"25 bis 34 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Ja","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","11 bis 15","Häufig (mehr als 50% der Schätzungen)","Es sind keine Prozesse vorhanden. 🛈","Das Team entscheidet autonom und effizient. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Remote","Ja","Nein","Nein","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme zu","Stimme zu","Stimme zu","Ja","Nein","Ja","Ja","Ja","Nein","Ja","Ja","Ja","","Stimme voll und ganz zu","Stimme zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Oft","Sehr wohl","Stimme kaum zu","Stimme kaum zu","Stimme kaum zu","Ja, deutlich","Stimme voll und ganz zu","Stimme voll und ganz zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Zwingend notwendig","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu"
"25 bis 34 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","Mehr als 15","Bei jeder Schätzung","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Vor Ort","Vor Ort","Ja","Nein","Nein","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja","Nein","Nein","Nein","Ja","Ja","Nein","Nein","Nein","","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Sehr oft","Sehr wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, deutlich","Stimme voll und ganz zu","Stimme voll und ganz zu","Durch formelle Schulung innerhalb des Unternehmens","","Empfehlenswert","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"25 bis 34 Jahre","1 bis 3 Jahre","Nein","Nein","Ja","Nein","Nein","Ja","Ja","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","Weniger als 5","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind teilweise vorhanden, aber unklar. 🛈","Entscheidungen werden teilweise extern beeinflusst. 🛈","Häufige Abhängigkeit von externer Unterstützung. 🛈","Vor Ort","Remote","Nein","Ja","Nein","","Absolute Einheiten (bspw. Personentage/-stunden)","Weder noch","Stimme eher zu","Stimme eher zu","Nein","Nein","Nein","Ja","Nein","Ja","Ja","Nein","Nein","","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Neutral","Weder noch","Stimme eher zu","Stimme eher zu","Ja, deutlich","Stimme eher zu","Stimme eher zu","Durch informelle Schulung innerhalb des Teams","","Empfehlenswert","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme eher zu"
"35 bis 44 Jahre","4 bis 6 Jahre","Ja","Nein","Nein","Ja","Nein","Nein","Ja","Ja","Ja","","Kleines Unternehmen (< 50 Mitarbeitende)","6 bis 10","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden teilweise extern beeinflusst. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Vor Ort","Ja","Ja","Ja","","Eine Kombination beider","Stimme eher zu","Stimme eher zu","Stimme eher zu","Ja","Nein","Ja","Ja","Ja","Nein","Ja","Nein","Ja","","Stimme zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Sehr wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, deutlich","Stimme voll und ganz zu","Stimme voll und ganz zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Neutral","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu"
"35 bis 44 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert und bekannt. 🛈","Das Team entscheidet autonom und effizient. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Remote","Ja","Ja","Nein","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme eher zu","Stimme eher zu","Stimme zu","Nein","Nein","Nein","Nein","Nein","Ja","Ja","Ja","Ja","","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Sehr wohl","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Ja, deutlich","Stimme zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Stimme zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"25 bis 34 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","11 bis 15","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Häufige Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Hybrid (Teile des Teams Remote und vor Ort)","Ja","Nein","Nein","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme zu","Stimme zu","Stimme zu","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","Nein","","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Stimme zu","Stimme zu","Stimme zu","Ja, deutlich","Stimme zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu"
"25 bis 34 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Gelegentlich (weniger als 50% der Schätzungen)","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden teilweise extern beeinflusst. 🛈","Häufige Abhängigkeit von externer Unterstützung. 🛈","Remote","Remote","Ja","Ja","Nein","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme zu","Stimme eher zu","Stimme zu","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Nein","","Stimme zu","Stimme zu","Stimme zu","Stimme eher zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Stimme eher zu","Stimme zu","Stimme eher nicht zu","Ja, etwas","Stimme eher zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Neutral","Stimme zu","Weder noch","Stimme zu","Stimme eher zu","Stimme zu","Stimme eher zu","Weder noch"
"25 bis 34 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Häufig (mehr als 50% der Schätzungen)","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden teilweise extern beeinflusst. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Hybrid (Teile des Teams Remote und vor Ort)","Ja","Ja","Nein","","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Weder noch","Stimme zu","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Oft","Wohl","Stimme zu","Stimme zu","Stimme zu","Ja, deutlich","Stimme eher zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Neutral","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu"
"35 bis 44 Jahre","Über 10 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","DTL","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Selten (nur in speziellen Fällen)","Die Prozesse sind etabliert und bekannt. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Vor Ort","Ja","Ja","Ja","man spürt die Stimmung des Teams vor Ort besser und kann auf diese eingehen","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme voll und ganz zu","Stimme zu","Stimme zu","Ja","Ja","Nein","Ja","Nein","Nein","Nein","Nein","Ja","","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Schnell (0-1 Diskussionsrunde)","Gelegentlich","Neutral","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Nein, kaum","Weder noch","Weder noch","Ich wurde nicht auf die Anwendung von Planning Poker vorbereitet","","Zwingend notwendig","Weder noch","Weder noch","Weder noch","Weder noch","Stimme kaum zu","Stimme kaum zu","Stimme kaum zu"
"25 bis 34 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert und bekannt. 🛈","Das Team entscheidet autonom und effizient. 🛈","Vollständig autonom. 🛈","Remote","Remote","Nein","Nein","Ja","","Absolute Einheiten (bspw. Personentage/-stunden)","Weder noch","Weder noch","Weder noch","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Stimme eher nicht zu","Stimme eher nicht zu","Weder noch","Stimme eher nicht zu","Durchschnittlich (2-3 Diskussionsrunden)","Oft","Sehr wohl","Stimme eher nicht zu","Stimme eher zu","Stimme eher zu","Ja, etwas","Stimme eher nicht zu","Stimme eher nicht zu","Durch formelle Schulung innerhalb des Unternehmens","","Zwingend notwendig","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"45 bis 54 Jahre","Über 10 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Nie","","","","","","N. v.","N. v.","N. v.","","","","","","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","","","","","","","","","","","","","","","","","","","","","","","",""
"45 bis 54 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","Mehr als 15","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Hybrid (Teile des Teams Remote und vor Ort)","Ja","Ja","Ja","","Eine Kombination beider","Stimme zu","Stimme eher zu","Stimme eher zu","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Ja","Ja","","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Stimme zu","Stimme zu","Stimme zu","Ja, etwas","Weder noch","Weder noch","Durch praktische Anwendung im Team (Learning-by-doing)","","Neutral","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme eher zu","Stimme zu","Stimme zu","Stimme zu"
"35 bis 44 Jahre","7 bis 10 Jahre","Nein","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Ja","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden teilweise extern beeinflusst. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Remote","Remote","Nein","Nein","Ja","","Eine Kombination beider","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme eher nicht zu","Nein","Ja","Nein","Ja","Nein","Nein","Nein","Ja","Ja","","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Stimme zu","Schnell (0-1 Diskussionsrunde)","Selten","Sehr wohl","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Ja, etwas","Stimme kaum zu","Stimme kaum zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Neutral","Stimme zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"35 bis 44 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","11 bis 15","Häufig (mehr als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Hybrid (Teile des Teams Remote und vor Ort)","Nein","Ja","Nein","","Absolute Einheiten (bspw. Personentage/-stunden)","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Ja","","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Schnell (0-1 Diskussionsrunde)","Selten","Neutral","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Ja, deutlich","Stimme zu","Stimme eher zu","Sonstiges","Ausbildung","Neutral","Stimme eher zu","Stimme zu","Stimme zu","Stimme kaum zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Weder noch"
"35 bis 44 Jahre","1 bis 3 Jahre","Ja","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","Weniger als 5","Bei jeder Schätzung","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Vor Ort","Nein","Nein","Nein","Gemeinsames Gespräch ist lebendiger.","Relative Einheiten (bspw. Story Points)","Stimme voll und ganz zu","Stimme überhaupt nicht zu","Stimme überhaupt nicht zu","Ja","Ja","Nein","Ja","Ja","Nein","Nein","Nein","Ja","","Stimme zu","Stimme eher zu","Stimme voll und ganz zu","Stimme zu","Schnell (0-1 Diskussionsrunde)","Selten","Wohl","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Nein, kaum","Weder noch","Weder noch","Durch praktische Anwendung im Team (Learning-by-doing)","","Neutral","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu"
"25 bis 34 Jahre","4 bis 6 Jahre","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","11 bis 15","Gelegentlich (weniger als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Stark abhängig von externer Unterstützung. 🛈","Remote","Remote","Nein","Nein","Ja","","Relative Einheiten (bspw. Story Points)","Stimme eher nicht zu","Weder noch","Weder noch","Nein","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Stimme eher nicht zu","Weder noch","Stimme voll und ganz zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Neutral","Stimme eher nicht zu","Stimme eher zu","Stimme zu","Nein, kaum","Weder noch","Stimme kaum zu","Durch informelle Schulung innerhalb des Teams","","Neutral","Stimme eher zu","Stimme eher zu","Weder noch","Stimme eher nicht zu","Stimme eher nicht zu","Weder noch","Stimme eher zu"
"35 bis 44 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Nein","Ja","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Selten (nur in speziellen Fällen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Vor Ort","Ja","Nein","Ja","","Eine Kombination beider","Stimme eher zu","Stimme zu","Stimme zu","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Stimme eher nicht zu","Stimme zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Stimme zu","Stimme zu","Stimme zu","Ja, etwas","Stimme eher zu","Stimme zu","Durch formelle Schulung innerhalb des Unternehmens","","Neutral","Stimme eher zu","Stimme zu","Stimme eher zu","Stimme zu","Weder noch","Weder noch","Stimme eher zu"
"35 bis 44 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Ja","Nein","Nein","Ja","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","11 bis 15","Gelegentlich (weniger als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Entscheidungen werden überwiegend autonom getroffen. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Vor Ort","Ja","Ja","Ja","","Relative Einheiten (bspw. Story Points)","Stimme eher zu","Stimme zu","Weder noch","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Stimme voll und ganz zu","Stimme zu","Stimme zu","Weder noch","Langwierig (mehr als 3 Diskussionsrunden)","Oft","Neutral","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Ja, deutlich","Stimme eher zu","Stimme eher zu","Durch formelle Schulung innerhalb des Unternehmens","","Empfehlenswert","Weder noch","Stimme eher zu","Weder noch","Stimme eher zu","Stimme zu","Weder noch","Stimme zu"
"35 bis 44 Jahre","4 bis 6 Jahre","Ja","Nein","Ja","Ja","Nein","Nein","Ja","Ja","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","Mehr als 15","Gelegentlich (weniger als 50% der Schätzungen)","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden zunehmend intern getroffen. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Remote","Remote","Nein","Nein","Ja","","Relative Einheiten (bspw. Story Points)","Stimme eher zu","Stimme eher zu","Stimme eher zu","Ja","Nein","Ja","Ja","Nein","Ja","Nein","Nein","Nein","","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Stimme eher zu","Stimme zu","Stimme zu","Ja, deutlich","Stimme zu","Stimme zu","Durch formelle Schulung innerhalb des Unternehmens","","Empfehlenswert","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme zu","Stimme eher zu","Stimme eher zu"
"Unter 25 Jahre","4 bis 6 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","","Kleines Unternehmen (< 50 Mitarbeitende)","Mehr als 15","Bei jeder Schätzung","Die Prozesse sind etabliert und bekannt. 🛈","Das Team entscheidet autonom und effizient. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Vor Ort","Ja","Ja","Nein","","Eine Kombination beider","Stimme zu","Stimme zu","Stimme zu","Ja","Nein","Ja","Ja","Ja","Nein","Ja","Ja","Ja","","Stimme zu","Stimme zu","Stimme zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Sehr wohl","Stimme eher zu","Stimme eher zu","Stimme zu","Ja, deutlich","Stimme zu","Stimme zu","Durch formelle Schulung innerhalb des Unternehmens","","Zwingend notwendig","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu","Stimme zu"
"25 bis 34 Jahre","1 bis 3 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Gelegentlich (weniger als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Das Team entscheidet autonom und effizient. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Remote","Ja","Ja","Nein","","Eine Kombination beider","Stimme eher zu","Weder noch","Stimme zu","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Weder noch","Stimme eher zu","Stimme zu","Stimme zu","Durchschnittlich (2-3 Diskussionsrunden)","Gelegentlich","Wohl","Weder noch","Stimme eher zu","Stimme eher nicht zu","Ja, deutlich","Stimme voll und ganz zu","Stimme zu","Durch formelle Schulung innerhalb des Unternehmens","","Zwingend notwendig","Stimme zu","Stimme voll und ganz zu","Stimme eher zu","Stimme zu","Stimme voll und ganz zu","Stimme zu","Stimme voll und ganz zu"
"35 bis 44 Jahre","7 bis 10 Jahre","Nein","Nein","Nein","Nein","Nein","Nein","Nein","Ja","Nein","","Grossunternehmen (>250 Mitarbeitende)","6 bis 10","Selten (nur in speziellen Fällen)","Prozesse sind vorhanden, werden aber uneinheitlich angewendet. 🛈","Entscheidungen werden teilweise extern beeinflusst. 🛈","Gelegentliche Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Remote","Ja","Nein","Nein","","Relative Einheiten (bspw. Story Points)","Stimme zu","Weder noch","Weder noch","Ja","Ja","Nein","Nein","Nein","Nein","Nein","Nein","Nein","","Stimme zu","Stimme zu","Stimme voll und ganz zu","Stimme voll und ganz zu","Durchschnittlich (2-3 Diskussionsrunden)","Nie","Neutral","Stimme zu","Stimme zu","Stimme zu","Ja, etwas","Stimme zu","Stimme zu","Durch praktische Anwendung im Team (Learning-by-doing)","","Empfehlenswert","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu"
"Über 54 Jahre","Über 10 Jahre","Ja","Ja","Ja","Nein","Ja","Nein","Nein","Nein","Nein","","Mittleres Unternehmen (51 - 249 Mitarbeitende)","6 bis 10","Gelegentlich (weniger als 50% der Schätzungen)","Die Prozesse sind etabliert, aber nicht vollständig integriert. 🛈","Das Team entscheidet autonom und effizient. 🛈","Seltene Abhängigkeit von externer Unterstützung. 🛈","Hybrid (Teile des Teams Remote und vor Ort)","Hybrid (Teile des Teams Remote und vor Ort)","Ja","Ja","Ja","","Eine Kombination beider","Stimme zu","Stimme eher zu","Stimme eher zu","Ja","Ja","Ja","Nein","Ja","Nein","Ja","Nein","Nein","","Stimme zu","Stimme zu","Stimme eher zu","Weder noch","Schnell (0-1 Diskussionsrunde)","Selten","Neutral","Stimme zu","Stimme zu","Stimme zu","Ja, etwas","Stimme zu","Stimme zu","Durch informelle Schulung innerhalb des Teams","","Neutral","Stimme zu","Stimme zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu","Stimme eher zu"
"Über 54 Jahre","Über 10 Jahre","Ja","Nein","Nein","Ja","Nein","Nein","Nein","Nein","Nein","","Grossunternehmen (>250 Mitarbeitende)","Weniger als 5","Nie","","","","","","N. v.","N. v.","N. v.","","","","","","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","N. v.","","","","","","","","","","","","","","","","","","","","","","","",""
